微末。,4 星,我越来越偏爱韩国的片子，人性的丑陋淋漓尽致。
战国客,4 星,无信用的警察以为可以一直使唤傻小子，却不料被傻小子给干了，这感觉真爽！
皓宇,3 星,请问这个片子是在炫耀中国的黑客技术么？
韩景峰看电影,4 星,影片的故事虽然并无新意，但仍然具有一波三折的动力，这让两个多小时的片长没有成为一个恼人的问题。电影就像用粉笔画了一个怪圈，将人置于信任与不信任的残酷而纠结的斗争中，其中着重描述黑帮阴影下的人物命运。这个故事渗透出来的严肃，甚至使那些过分血腥的镜头都显得有些突兀。
林二湖,5 星,要不是讲韩语，以为杜琪峰拍的呢。
思路乐,5 星,【A】不能简单的把《新世界》与《无间道》进行优劣对比，其实两者很不一样:《无间道》对于警匪的描写偏向艺术化，而《新世界》则更加注重于黑暗沉重的现实风格渲染。在主题的刻画上，双方都有各有千秋。《无间道》突出的是香港世纪之交下的个人宿命，《新世界》强调的是人性在灰色地带的沉沦与反叛。总而言之，在人性的探讨下，两者都在方向不同的道路上走出了自己的风格，都值得大加赞赏。
大脸,5 星,牛逼
没有感の情圣,5 星,又是比较喜欢的黑帮片，卧底做到这份上我想给谁都是一样的选择
Leonardo,5 星,太不错了
Lans_lot,4 星,近几年少有的黑帮佳作 虽和寒战一样取名于一个作战计划但远胜前者 前半段的铺垫用了非常平淡的叙事在这个过程中看到了仲久的狂李政宰的软丁青的笑里藏刀 因此会不停的去纳闷为什么要安排李政宰去担任这一一个又文又软的黑帮身份甚至质疑到了演员本身的气质 结尾一段压抑而残忍 被一个套中套逼到绝路也
flyingzorro,3 星,卧底逆袭成功！
LMFDean9,1 星,黃政民的國語牛逼！
orange,4 星,黑结局好评
扭腰客,4 星,最后的结局深得我心，好样的，李代表。
惹草苳,3 星,浓浓的香港黑帮片味道，或者反了？
情迷大咕呆,5 星,兄弟…帥…
恩来居士,4 星,所以韩国黑帮的真实战斗力都在我天朝这儿啊，黑客和延边老棒子才是龙头拐杖
c7小小,4 星,牛逼哄哄的韩国电影，其实有很想打五星的冲动
有嗳,4 星,无间道
你的盒饭掉了,1 星,看了哭声才去找的黄政民的电影看。。。此片男猪一副扑克脸影到完啊而且好像没见他做过什么事就成为老大。。。真囧啊
清舞翩翩,4 星,黄正民凭演技获影帝，和韩国钟汉良激情无限。黑社会如果被更大的“黑社会”同化就是新世界了？不不不，杀杀杀，老婆手下生活处处有卧底，只有狠一点当老大才是王道！！！
小丸子,4 星,比无间道更流畅，气氛比无间道阳光一些。
养乐多,5 星,近乎完美
海娃兒,4 星,7.8分。故事发展和结尾都是观众喜闻乐见的，不过中段各条线索的篇幅设置还可以更紧凑更吸引人。
Panda的阴影,4 星,⒈黑帮片也算看得不少，但其并不是我比较青睐的类型；⒉导演朴勋政承认该片100%的构思是来自于《无间道》，朴导演自己说他很喜欢《无间道》，也特别钟情这种题材；⒊黄政民表示，片中有些角色是华侨身份，需要掌握一定的中文。但和全罗道方言比，中文实在太难了，到最后也就达到听着跟着模仿的水平。…
月球漫舞者,3 星,三星半。比港版与美版都要黑，简直是一黑到底，少了人情味，多了无力感。可惜导演手略生，很多地方材料安排都明显生硬。
ButtMan,4 星,找不出啥缺点 但就是感觉还缺了哪里的一颗星
反山,4 星,李政宰太他妈帅了，人物的状态诠释的太好了，这必须是影帝。
卡不R,3 星,为了懵智去看的，结果她是去打酱油的
moyaliu,5 星,韩国也能拍这么棒的黑帮片啊。
薇罗尼卡,4 星,总觉得配乐抄袭了色戒……
薇罗尼卡,4 星,总觉得配乐抄袭了色戒……
Naza,4 星,李政宰阴狠略显不足啊。镜头很美。剧情总体不错。
★,4 星,4“心狠一點，才能活得久一些“丁青一句話，讓李子成明白，這世道不存在身份上的黑白，只存為活著而活著的理由。你可以一秒前為信念活著，也可以一秒后為利益活著，這是符合任何時間空間內的生存法則──勝者為王，敗者為寇。PS：同是華僑這個安排，太讚了，再次驗證孔老二關於”血統論“的說法。
通叔,5 星,黑化的结局，真爽！
君紫隆,4 星,有很多细节 没看懂，给 4星 吧~
john3376,3 星,三星半
木头人,5 星,为了生存，人是什么都做的出来的。挺喜欢这个结尾，这么多年亦正亦邪担惊受怕的过日子，还不如狠下心选条道一条路走到黑。
本~拉稀,4 星,韩国黑帮片能拍成这样，审查制度的开放功不可没啊。
哇哇哇哇哇,4 星,故事张力很足，不过真的不是俊熙附体么。延边老棒子简直无所不能嘛！
少言,3 星,三星半。都是《无间道》和《黑社会》玩剩下的。赞结尾。
孔雀森林,5 星,一将功成万骨枯。最后一分钟，点晴之笔
蜗牛,4 星,起初以为是部警察智斗黑帮的警匪电影，后来才明白是部卧底力挽狂澜的英雄电影，再到最后，操，是部邪恶战胜正义的黑暗电影。直到现在，过去这么多小时，细细回味，颇有感觉。却不敢再乱下定义。韩国电影真的很值得推敲和抓细节
巨峰巨峰,5 星,真是好看，西巴
老羊,1 星,"《好一片 新世界》

暴力美学吗？中国狗头军师？警察牺牲小我换取灭黑？
血腥！有汉语！充满鲜血与欲望的战场，新世界何日来临？

低俗不入流黑社会影片！"
geniuschow,5 星,很少推荐棒子电影，但不得不说：这部是非常好的黑帮片，直接颠覆了卧底片的惯常套路。结尾更是一黑到底，见不得任何光明……
gy2001316,5 星,比无间道更无间道；李仲久太像83版的杨康了
SaoirSe,allstar20 rating,哇，宋智孝身材不錯~(ฅ• . •ฅ)
晚晴先生夏雨庭,4 星,韩国的无间道比无间道虐心得轻快多了，结局也更符我脾胃一些。组织什么的，挡我者屎。话说韩国电影什么时候流行黑帮小偷之类狂飙烂中文来的？
朱林昭,5 星,久违了的黑帮片 继承了自《教父》以来的光荣传统 除了《无间道》+《黑社会》 还让人想到深作欣二的《无仁义之战》 正义 帮派 名利 都比不上兄弟送的一块表啊哈哈哈~
木二开,4 星,比无间道更黑暗，卧底逆袭当老大
30日后又是咸鱼,5 星,继汉江怪物之后 此片又一次刷新我对韩国片的认识 细腻又充满张力的剧情 巧妙的结局设定 配乐实在大赞 每个角色都有发挥 丁青相当出彩啊 朴勋政编而优则导没有失手呢  (另外，作为正装控真是大饱眼福啊)
荆棘,4 星,前半部拖沓，后半部很好，结尾最棒。宰明显不是中国人样子嘛！其实正邪的分界是什么呢，都是人心。
爱是寂寞人,4 星,黑吃黑
Makoto  Tatsu,4 星,结局不错，有点峰回路转的意味。
KevinZii,4 星,又黑我母校蓝翔。
eroslee,4 星,三星半，不到四星水准
饺子馅,4 星,现在的韩国警匪片已经超神了
慎独,4 星,结局真是大快人心，不过中间有些慢，害我不停快进。回去看第二遍，写影评。绝对不认同这电影高于无间道系列
DragonProudSky,5 星,非常不错！！
阿尔法,4 星,无间道，黑社会啥的就不说了，兄弟情在深刻画一点就好了，一股流水线的味道就不好了。女人基本没有戏，就算不给陈慧琳戏，连刘嘉玲的戏也给不可以有吗？
儿 子,4 星,兄弟 只论道义
微笑的鱼,3 星,李政宰你让我失望了！
爱佳佳,3 星,韩国电影又恢复成韩国电影了
霍乱,4 星,合格的商业片
菠菜逛基辅,4 星,结局很带感！延边老棒子太拉轰鸟！！！
光年‖影视歌三栖民工,3 星,卧底几次三番听到接头警探说最后一次，不想再做了。这让我想起无间道里的梁朝伟
心有戚戚焉,4 星,企业文化建设太重要了
枯川满,4 星,稳扎稳打的故事推进，一点也没有飞飘起来的炫劲，却完美的诠释了什么叫狠，什么叫木有退路以及男人是啥等问题。这当中的情义认命与不屈看得让人揪心。至于那场电梯混战，虽寥寥几镜，却无比惨烈！乃全片最亮点。片子又顺带歌颂了无所不能的中国人，延边的爷们能打真硬仗。
猪头山太子,5 星,非常棒！
小时隐,4 星,基友情(＞人＜;)
朱熠,3 星,毫无新意
KID,4 星,暗黑版无间道
饭范儿-3048,4 星,除了主线，别的都做得很认真，可看性较高。
